CO_TAZID,Enrol_Elem,Enrol_Midl,Enrol_High
1007,0,0,0
1009,451,0,0
1011,0,225,221
1062,0,95,111
1064,211,0,0
1103,328,0,0
3047,539,0,0
3083,658,0,0
3111,645,0,1197
3112,0,848,0
3117,0,0,0
3125,0,0,0
3198,0,0,0
3211,440,0,0
3233,0,0,0
3262,28,0,0
3294,36,20,0
3295,12,0,0
7001,261,0,0
7006,0,199,0
7024,31,3,1021
7026,374,0,0
7028,0,616,0
7034,156,91,102
7039,363,0,0
7059,0,0,0
7090,233,0,0
7158,85,0,0
9003,14,0,0
9012,59,43,45
13002,326,0,0
13004,479,0,0
13006,0,793,0
13008,0,0,1173
13013,438,0,0
13022,137,0,0
13024,0,0,0
13039,317,142,131
13067,386,199,212
13092,137,4,7
13109,109,37,38
15045,148,0,0
15076,0,215,0
15082,198,0,0
15117,0,0,617
15118,127,0,0
15141,93,0,0
15176,175,0,0
15180,0,221,0
15244,0,44,41
15247,107,0,0
17008,215,0,0
17011,0,0,0
17012,0,0,148
17014,0,56,0
17051,0,0,0
17066,131,65,77
17094,1,0,0
17113,88,0,0
17114,0,36,30
17126,0,4,8
17140,7,0,0
19009,682,0,0
19015,0,0,0
19023,71,220,469
21009,111,0,0
21034,0,0,28
21040,0,0,0
21059,646,0,0
21064,516,0,0
21073,604,133,0
21114,0,951,1023
21116,516,0,0
21122,0,0,36
21137,0,0,0
21149,0,0,0
21153,167,42,0
21156,578,0,0
21166,636,0,0
21168,0,0,0
21173,0,10,10
21180,0,0,0
21182,598,0,0
21199,547,0,0
21203,2346,1053,2256
21215,0,1142,232
21224,0,0,0
21245,1,18,0
21309,418,182,168
23012,280,0,0
23044,0,0,0
23045,0,629,896
23051,354,0,0
23058,546,0,0
23112,93,70,72
23127,0,9,0
25024,0,78,77
25026,162,0,0
25046,523,0,0
25056,0,159,0
25057,0,0,319
25096,80,18,48
25106,0,4,1
27118,0,0,594
27120,0,614,0
27131,0,0,27
27133,427,0,0
27144,246,0,0
27316,0,0,385
27319,430,347,0
27409,0,5,2
27410,14,0,0
29014,0,493,0
29016,0,0,1140
29017,556,0,0
29041,424,0,0
29044,0,497,0
30025,448,0,0
30030,4,3,12
30043,774,0,0
30050,0,0,27
30051,0,0,0
30053,0,0,161
30055,0,1127,0
30063,0,0,1639
30075,0,0,48
30077,0,0,0
30079,573,0,0
30085,0,0,0
30095,530,0,0
30104,367,78,0
30125,215,0,0
