maz_id,SchoolName,Public_Elem,Public_Midl,Public_High,PriCha_Elem,PriCha_Midl,PriCha_High,Enrol_Elem,Enrol_Midl,Enrol_High
44,Goldminer's Daughter,11,0,0,0,0,0,11,0,0
6818,Summit Academy - Bluffdale,0,0,0,537,0,0,537,0,0
6858,Blackridge School,782,0,0,0,0,0,782,0,0
6859,Ridge View Elementary,713,0,0,0,0,0,713,0,0
6862,Oak Hollow School,488,0,0,0,0,0,488,0,0
6891,Fort Herriman Middle,0,1200,0,0,0,0,0,1200,0
6913,JuniperMountain Ridge High,544,0,2746,0,0,0,544,0,2746
6928,Bluffdale School,736,0,0,0,0,0,736,0,0
6939,North Star Academy,0,0,0,359,163,0,359,163,0
6943,Foothills School,838,0,0,0,0,0,838,0,0
7042,Kauri Sue HamiltonPreschool,128,48,110,0,0,0,128,48,110
7062,South Hills Middle,0,1182,0,0,0,0,0,1182,0
7070,Channing Hall,0,0,0,499,105,0,499,105,0
7111,Just 4 Kids Adventures Riverton,0,0,0,0,0,0,0,0,0
7113,Idea Academy,0,0,0,0,0,0,0,0,0
7133,Willow Springs School,563,0,0,0,0,0,563,0,0
7167,Herriman School,679,0,0,0,0,0,679,0,0
7177,Riverton School,657,0,0,0,0,0,657,0,0
7220,Summit AcademyMy Summit Adventures,0,0,0,0,0,0,0,0,0
7230,Oquirrh Hills Middle,0,1263,0,0,0,0,0,1263,0
7234,Draper Park Middle,0,1414,0,0,0,0,0,1414,0
7246,Montessori at Riverton,0,0,0,0,0,0,0,0,0
7263,Corner Canyon High,0,0,2437,0,0,0,0,0,2437
7282,Draper School,680,0,0,0,0,0,680,0,0
7301,Southland School,592,0,0,0,0,0,592,0,0
7396,Riverton High,0,0,2302,0,0,0,0,0,2302
7405,Carone Fitness,0,0,0,0,0,0,0,0,0
7415,Bastian School,741,0,0,0,0,0,741,0,0
7426,Athlos Academy of Utah,0,0,0,417,41,0,417,41,0
7457,Rosamond School,573,0,0,0,0,0,573,0,0
7505,Sprucewood School,343,0,0,0,0,0,343,0,0
7572,St. Andrew Catholic School,0,0,0,0,0,0,0,0,0
7580,Advantage Arts Academy,0,0,0,354,0,0,354,0,0
7587,Herriman High,0,0,2521,0,0,0,0,0,2521
7588,Copper Mountain Middle,0,1094,0,0,0,0,0,1094,0
7593,Midas Creek School,759,0,0,0,0,0,759,0,0
7595,St. John The Baptist MiddleJuan Diego Catholic HighSt. John The Baptist Elem.,0,0,0,0,0,0,0,0,0
7660,Early Light Academy at Daybreak,0,0,0,731,292,0,731,292,0
7681,Gateway Academy,0,0,0,0,0,0,0,0,0
7704,Daybreak School,701,0,0,0,0,0,701,0,0
7718,Indian Hills Middle,0,1075,0,0,0,0,0,1075,0
7737,Paradigm High School,0,0,0,0,180,173,0,180,173
7745,Mountain West Montessori Academy,0,0,0,369,82,0,369,82,0
7760,Lone Peak School,516,0,0,0,0,0,516,0,0
7808,Kiwi Kids,0,0,0,0,0,0,0,0,0
7812,Huntington Learning Center,0,0,0,0,0,0,0,0,0
7814,American Preparatory Academy - Draper #2American Preparatory Academy - Draper #3,0,0,0,1070,491,228,1070,491,228
7888,Sunrise School,647,0,0,0,0,0,647,0,0
7923,South Jordan School,863,0,0,0,0,0,863,0,0
7925,Aspen Elementary,902,0,0,0,0,0,902,0,0
8001,Alta High,0,0,2276,0,0,0,0,0,2276
8002,Altara School,560,0,0,0,0,0,560,0,0
8054,Monte Vista School,783,0,0,0,0,0,783,0,0
8075,Eastlake School,792,0,0,0,0,0,792,0,0
8127,American Academy of Innovation,0,0,0,0,200,174,0,200,174
8219,Hilltop Christian School,0,0,0,0,0,0,0,0,0
8338,Golden Fields SchoolMountain Creek Middle School,854,1317,0,0,0,0,854,1317,0
8351,Alta View School,556,0,0,0,0,0,556,0,0
8437,Eastmont Middle,0,516,0,0,0,0,0,516,0
8447,South Jordan Middle,0,1189,0,0,0,0,0,1189,0
8519,Bingham High,0,0,2460,0,0,0,0,0,2460
8544,Park Lane School,325,0,0,0,0,0,325,0,0
8561,Granite School,303,0,0,0,0,0,303,0,0
8570,Blessed Sacrament School,0,0,0,0,0,0,0,0,0
8584,Elk Meadows School,580,0,0,0,0,0,580,0,0
8658,Glacier Hills Elementary,626,0,0,0,0,0,626,0,0
8678,Welby School,701,0,0,0,0,0,701,0,0
8687,Grace Lutheran SchoolGrace Lutheran School,0,0,0,0,0,0,0,0,0
8690,Waterford InstituteWillow Canyon SchoolWaterford SchoolWaterford School,303,0,0,0,0,0,303,0,0
8701,Diamond Ridge High SchoolCanyons Virtual Academy,0,0,185,0,0,0,0,0,185
8730,West Ridge Academy,0,0,0,0,0,0,0,0,0
8749,Mount Jordan Middle,0,0,0,0,0,0,0,0,0
8771,Special Ed PreschoolCanyons Online,0,0,0,0,0,0,0,0,0
8868,Pine Ridge Academy,0,0,0,0,0,0,0,0,0
8870,Hawthorn Academy,0,0,0,0,0,0,0,0,0
8871,Jordan Ridge School,637,0,0,0,0,0,637,0,0
8878,Mountain Heights Academy,0,0,0,0,0,0,0,0,0
8907,Canyons Technical Education CenterEntrada,0,0,40,0,0,0,0,0,40
8927,Quail Hollow School,366,0,0,0,0,0,366,0,0
8957,Silver Mesa School,553,0,0,0,0,0,553,0,0
8977,Jordan Hills School,631,0,0,0,0,0,631,0,0
9059,Sandy School,490,0,0,0,0,0,490,0,0
9100,Riverside School,591,0,0,0,0,0,591,0,0
9107,Copper Canyon School,497,0,0,0,0,0,497,0,0
9127,Copper Hills Youth Center,0,0,0,0,0,0,0,0,0
9131,Antelope Canyon Elementary,592,0,0,0,0,0,592,0,0
9133,Brookwood School,359,0,0,0,0,0,359,0,0
9145,Copper Hills High,0,0,2845,0,0,0,0,0,2845
9167,Westvale School,462,0,0,0,0,0,462,0,0
9260,Oakcrest School,694,0,0,0,0,0,694,0,0
9311,Peruvian Park School,560,0,0,0,0,0,560,0,0
9369,Sunset Ridge Middle,0,1383,0,0,0,0,0,1383,0
9373,South Valley School,0,0,165,0,0,0,0,0,165
9384,East Sandy School,364,0,0,0,0,0,364,0,0
9504,Oakdale School,340,0,0,0,0,0,340,0,0
9508,Fox Hollow School,872,0,0,0,0,0,872,0,0
9541,West Hills Middle,0,1170,0,0,0,0,0,1170,0
9583,Midvale School,630,0,0,0,0,0,630,0,0
9584,Midvale Middle,0,805,0,0,0,0,0,805,0
9607,Ascent Academies of Utah West Jordan,0,0,0,547,215,0,547,215,0
9611,Hayden Peak School,723,0,0,0,0,0,723,0,0
9615,Terra Linda SchoolColumbia School,1073,0,0,0,0,0,1073,0,0
9626,Union Middle,0,913,0,0,0,0,0,913,0
9747,Midvalley School,606,0,0,0,0,0,606,0,0
9811,Jordan Valley School,30,22,27,0,0,0,30,22,27
9834,Butler Middle,0,914,0,0,0,0,0,914,0
9897,Ridgecrest School,492,0,0,0,0,0,492,0,0
9904,Utah Autism Academy,0,0,0,0,0,0,0,0,0
